# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Invoice No,Line Item,Month,Order Date,Order Type,Material,Mat. Grp Desc,Batch No,Base UoM,Qty in Sales Unit,Sales Unit,Sales Qty,Frieght Charged,Freight Incurred,Interest,Net Value /KL (NET_VAL_KL),Packing Cost /KL,Total Packing Cost,RM Cost /KL,Total RM Cost,Total Variable Cost,Total Value,NET_CONT_KL,DENSITY,Sales District,Region,REG_DESC,Payer,Customer,Employee,Sales manager,Industry Code,Customer Grp,Industry Desc,MATKL,Mat Grp1 Text,Mat Grp 2 Text,City,Doc Curr,Plant,Plant Desc,CGST,SGST,UGST,IGST,Commission_N,Basic Sale Price,Credit Days,Discount,Revenue,hierarchical_cluster
1,9501684613,10,1,2024-01-03,0,12,21,1,0,11.973,0,11.973,0.0,826.86,1757.88,70673.14,0.0,0.0,70856.26,848362.0,72614.14,846169.51,-1941.0,0.826,6,13,5,53,57,16,9,7,57,8,0,0,14,210,0,1010,0,78123.83,78123.83,0.0,0.0,1000,72500.0,60,0,868042.5,0
4,9501684620,10,1,2024-01-04,0,33,19,68,0,32.0,2,6.688,0.0,536.33,6328.36,77484.72,8978.95,60051.22,71699.41,479525.65,78027.77,518217.81,-543.05,0.823,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,52367.04,52367.04,0.0,0.0,0,87000.0,180,0,581856.0,0
5,9501684621,10,1,2024-01-04,0,33,19,68,0,32.0,2,6.688,0.0,536.33,6328.36,77484.72,8978.95,60051.22,71699.41,479525.65,78027.77,518217.81,-543.05,0.823,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,52367.04,52367.04,0.0,0.0,0,87000.0,180,0,581856.0,0
6,9501684631,10,1,2024-01-04,0,33,19,1,0,40.0,2,8.36,0.0,429.07,6328.36,77647.48,8923.45,74600.04,72513.44,606212.36,78841.8,649132.93,-1194.32,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,65458.8,65458.8,0.0,0.0,0,87000.0,180,0,727320.0,0
9,9501684633,10,1,2024-01-04,0,33,19,1,0,15.0,2,3.135,0.0,0.0,0.0,74576.55,8923.45,27975.02,72513.44,227329.63,72513.44,233797.48,2063.11,0.826,6,13,5,89,80,16,9,0,79,0,0,0,14,124,0,1010,0,23559.53,23559.53,0.0,0.0,0,83500.0,0,0,261772.49999999997,0
10,9501684637,10,1,2024-01-04,0,33,19,1,0,32.0,2,6.688,0.0,536.33,6328.36,77540.22,8923.45,59680.03,72513.44,484969.89,78841.8,518588.99,-1301.58,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,52367.04,52367.04,0.0,0.0,0,87000.0,180,0,581856.0,0
11,9501684638,10,1,2024-01-04,0,33,19,1,0,25.0,2,5.225,0.0,0.0,0.0,73076.55,8923.45,46625.03,72513.44,378882.72,72513.44,381824.97,563.11,0.826,5,13,5,312,294,11,10,8,282,9,0,0,14,157,0,1010,0,38560.5,38560.5,0.0,0.0,0,82000.0,0,0,428449.99999999994,0
13,9501684650,10,1,2024-01-04,0,33,19,1,0,14.0,2,2.926,0.0,996.58,6328.36,77079.97,8923.45,26110.01,72513.44,212174.33,78841.8,225535.99,-1761.83,0.826,6,13,5,31,37,16,9,7,37,8,0,0,14,6,0,1010,0,22910.58,22910.58,0.0,0.0,0,87000.0,180,0,254562.0,0
14,9501684669,10,1,2024-01-05,0,33,19,1,0,2.0,2,0.418,0.0,0.0,2060.96,75076.55,8923.45,3730.0,72513.44,30310.62,74574.4,31382.0,502.15,0.826,6,13,5,53,57,16,9,7,57,8,0,0,14,210,0,1010,0,3197.7,3197.7,0.0,0.0,1000,85000.0,60,0,35530.0,0
15,9501684673,11,1,2024-01-05,0,17,20,1,0,3.0,2,0.078,0.0,0.0,0.0,72884.6,14615.4,1140.0,70856.26,5526.79,70856.26,5685.0,2028.34,0.826,3,30,1,193,188,3,7,0,182,0,0,0,14,76,0,1010,0,0.0,0.0,0.0,1228.5,0,87500.0,0,0,6825.0,0
16,9501684673,12,1,2024-01-05,0,17,20,68,0,47.0,2,1.222,0.0,0.0,0.0,72884.61,14615.39,17860.01,71699.41,87616.68,71699.41,89064.99,1185.2,0.0,3,30,1,193,188,3,7,0,182,0,0,0,14,76,0,1010,0,0.0,0.0,0.0,19246.5,0,87500.0,0,0,106925.0,0
17,9501684674,10,1,2024-01-05,0,17,20,68,0,50.0,2,1.3,0.0,0.0,604.55,73384.61,14615.39,19000.01,71699.41,93209.23,72303.96,95399.99,1080.65,0.0,3,30,1,257,234,3,7,0,226,0,0,0,14,190,0,1010,0,0.0,0.0,0.0,20592.0,0,88000.0,17,0,114400.0,0
19,9501684676,10,1,2024-01-05,0,12,21,1,0,19.891,0,19.891,0.0,2355.76,0.0,69644.24,0.0,0.0,70856.26,1409401.87,70856.26,1385293.58,-1212.02,0.826,5,13,5,35,40,11,10,8,40,9,0,0,14,109,0,1010,0,128893.68,128893.68,0.0,0.0,0,72000.0,0,0,1432151.9999999998,0
20,9501684686,10,1,2024-01-05,0,12,21,1,0,19.903,0,19.903,0.0,1968.21,0.0,70031.79,0.0,0.0,70856.26,1410252.14,70856.26,1393842.72,-824.47,0.826,5,13,5,57,59,11,10,8,60,9,0,0,14,55,0,1010,0,128971.44,128971.44,0.0,0.0,0,72000.0,0,0,1433016.0,0
24,9501684694,10,1,2024-01-05,0,17,20,1,0,50.0,2,1.3,0.0,0.0,0.0,73384.6,14615.4,19000.02,70856.26,92113.14,70856.26,95399.98,2528.34,0.826,3,30,1,9,20,3,7,12,20,12,0,0,14,138,0,1010,0,0.0,0.0,0.0,20592.0,0,88000.0,0,0,114400.0,0
29,9501684708,10,1,2024-01-06,0,33,19,1,0,30.0,2,6.27,0.0,0.0,0.0,74576.55,8923.45,55950.03,72513.44,454659.27,72513.44,467594.97,2063.11,0.826,5,13,5,166,161,11,10,0,154,0,0,0,14,47,0,1010,0,47119.05,47119.05,0.0,0.0,0,83500.0,0,0,523544.99999999994,0
30,9501684709,10,1,2024-01-06,0,17,20,1,0,100.0,2,2.6,0.0,0.0,0.0,72884.6,14615.4,38000.04,70856.26,184226.28,70856.26,189499.96,2028.34,0.826,5,12,4,191,182,12,10,10,175,4,0,0,14,161,0,1010,0,0.0,0.0,0.0,40950.0,0,87500.0,0,0,227500.0,0
35,9501684717,10,1,2024-01-06,0,33,19,1,0,10.0,2,2.09,0.0,0.0,1111.27,77011.95,8923.45,18650.01,72513.44,151553.09,73624.71,160954.98,3387.24,0.826,6,13,5,194,192,16,9,0,186,0,0,0,14,146,0,1010,0,0.0,0.0,0.0,32328.9,0,85935.4,32,0,179604.98599999998,0
36,9501684718,10,1,2024-01-06,0,33,19,1,0,20.0,2,4.18,0.0,0.0,0.0,74576.55,8923.45,37300.02,72513.44,303106.18,72513.44,311729.98,2063.11,0.826,5,13,5,202,194,11,10,0,188,0,0,0,14,157,0,1010,0,31412.7,31412.7,0.0,0.0,0,83500.0,0,0,349030.0,0
